Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-561.3728	-585.6066	24.23377	1.34432	0.0674284	0.216009	0.00180865	0.0575163	0.31786	0.252855	0.0488996	0.2863	0.0573062	0.194006	0.00589599	0.0388412	0.0382232	0.0121357	0.0104533	0.0190991	0.435614	0.0190211	0.0551714	0.0541565	0.00799968	0.0298426	0.275414	0.063179	0.0836946	0.18242	0.230616	0.0541412	0.262915	1.54197	0.232217	1.767783	0.582264	0.768154	0.921005	1.08577	1.30182	1.71743	0.3910577	7.612632	0.1253716	0.301402	0.0151177	0.04843	0.000405507	0.0128954	0.0712653	0.0566911	0.0109635	0.0641895	0.0128483	0.0434969	0.0013219	0.00870834	0.00856978	0.00272087	0.00234368	0.00428209	0.0976662	0.00426459	0.0123696	0.0121421	0.00179356	0.00669083	0.0617488	0.014165	0.0187646	0.0408993	0.0517051	0.0121387	0.883891	0.116109	4.46023
36	-565.8908	-589.707	23.81619	1.19748	0.0625694	0.200443	0.0574318	0.253264	0.1536	0.183142	0.229605	0.128687	0.15237	0.142446	0.0203823	0.0490444	0.113824	0.11867	0.00577326	0.00659435	0.39741	0.04512	0.017448	0.01469	0.0290898	0.0336424	0.113559	0.0414166	0.127066	0.0890957	0.266551	0.0916332	0.144009	1.6294	0.1418713	1.858129	0.555246	0.750559	0.914371	1.09365	1.33234	1.801	0.4254132	13.09728	0.06498651	0.275788	0.0144101	0.0461631	0.0132269	0.0583283	0.0353749	0.0421787	0.0528793	0.0296373	0.0350917	0.0328063	0.00469416	0.0112952	0.0262144	0.0273304	0.00132962	0.00151872	0.0915259	0.0103914	0.00401837	0.0033832	0.00669956	0.00774805	0.0261532	0.00953849	0.029264	0.0205193	0.0613884	0.0211037	0.929064	0.0709356	4.342052
72	-559.2816	-583.2038	23.92221	1.68884	0.0423738	0.119179	0.00844882	0.0318972	0.251122	0.298148	0.150406	0.252936	0.209578	0.0596762	0.0102754	0.0423413	0.0487929	0.0450671	0.0036203	0.0217778	0.286631	0.0593199	0.00878177	0.089182	0.0127721	0.0435342	0.116448	0.0238425	0.142614	0.052785	0.168519	0.0450417	0.157572	1.61943	0.1739386	1.826061	0.401706	0.640951	0.870428	1.14886	1.56018	2.48938	0.6594639	10.49831	0.07154476	0.389676	0.00977718	0.027499	0.00194945	0.00735985	0.0579431	0.0687936	0.0347043	0.0583617	0.0483572	0.0137695	0.0023709	0.00976968	0.0112583	0.0103986	0.000835336	0.00502492	0.0661364	0.0136873	0.00202628	0.0205776	0.002947	0.0100449	0.0268687	0.00550134	0.0329063	0.0121794	0.0388835	0.0103928	0.913031	0.0869693	4.333947
108	-566.4904	-592.7341	26.24368	0.627242	0.0240853	0.184564	0.0177546	0.0833008	0.201649	0.152699	0.459618	0.375995	0.0121764	0.134941	0.0284242	0.0323096	0.0247183	0.0745492	0.127134	0.113226	0.362298	0.186053	0.11071	0.0586436	0.0181081	0.0240971	0.127452	0.0416949	0.0674729	0.122668	0.0137408	0.182491	0.498197	1.36897	0.7693025	1.230697	0.321077	0.574608	0.841257	1.1887	1.74032	3.11452	0.8214607	1.599757	0.2675884	0.157211	0.00603669	0.0462588	0.00444999	0.0208784	0.050541	0.0382721	0.115198	0.0942387	0.00305187	0.0338213	0.00712419	0.00809801	0.00619535	0.0186849	0.0318647	0.0283787	0.0908056	0.0466321	0.0277482	0.0146983	0.00453859	0.00603966	0.0319443	0.0104503	0.0169113	0.0307452	0.00344397	0.0457391	0.615349	0.384651	3.989814
144	-564.776	-588.454	23.67806	0.69832	0.0366223	0.234165	0.0615174	0.353857	0.299022	0.134831	0.256212	0.399446	0.168895	0.174304	0.0425957	0.168297	0.0413187	0.0784532	0.0206113	0.0706006	0.583676	0.0191672	0.15786	0.0113251	0.0127547	0.14029	0.83239	0.0338287	0.122747	0.139115	0.0650624	0.151734	0.367934	1.46475	0.5436129	1.456387	0.666604	0.820541	0.940158	1.06365	1.21871	1.50014	0.2932469	2.679089	0.1846998	0.126759	0.00664771	0.0425057	0.0111667	0.0642323	0.0542787	0.0244746	0.0465077	0.0725077	0.030658	0.0316398	0.007732	0.0305493	0.00750019	0.0142409	0.00374138	0.0128155	0.105949	0.00347924	0.0286549	0.00205573	0.00231524	0.0254655	0.151096	0.0061406	0.0222811	0.0252522	0.0118102	0.0275428	0.728194	0.271806	5.509016
180	-568.7143	-595.0851	26.3708	0.782025	0.0406705	0.149202	0.179507	0.213884	0.180133	0.182499	0.128543	0.263482	0.0380286	0.0977969	0.026074	0.0596814	0.0130289	0.0348683	0.0677131	0.0902896	0.29239	0.0158768	0.155686	0.0239866	0.0238851	0.0405467	0.435001	0.0294442	0.0388591	0.142869	0.056477	0.119995	0.483631	1.37968	0.7237642	1.276236	0.365872	0.612399	0.858141	1.16531	1.63292	2.7332	0.7270253	1.763331	0.2577485	0.199372	0.0103687	0.038038	0.0457641	0.0545283	0.0459238	0.0465269	0.0327712	0.0671729	0.00969514	0.0249327	0.00664739	0.0152154	0.00332163	0.00888943	0.017263	0.0230187	0.0745427	0.00404769	0.0396911	0.00611522	0.00608935	0.0103371	0.1109	0.00750659	0.00990687	0.0364235	0.0143984	0.0305919	0.638118	0.361882	3.922442
216	-568.1506	-593.5285	25.37783	0.954397	0.125388	0.083285	0.0442943	0.125168	0.328717	0.0843937	0.1197	0.101887	0.150684	0.127944	0.0431068	0.00273551	0.0352031	0.00308701	0.00580537	0.103758	0.201417	0.0587433	0.0357027	0.238668	0.0414736	0.00360717	0.847193	0.0473994	0.032609	0.0850498	0.0807031	0.128136	0.620376	1.27913	0.6654606	1.334539	0.33745	0.588717	0.847647	1.17974	1.69861	2.9634	0.7854973	2.005437	0.3566154	0.22508	0.0295709	0.0196415	0.0104461	0.029519	0.0775229	0.019903	0.0282294	0.0240284	0.0355366	0.0301736	0.0101661	0.000645128	0.00830211	0.000728024	0.00136911	0.0244697	0.0475012	0.0138537	0.00841994	0.0562862	0.00978093	0.000850695	0.199798	0.0111784	0.00769035	0.0200577	0.0190326	0.0302189	0.66727	0.33273	4.240255
252	-576.135	-602.1306	25.9956	0.78582	0.254599	0.00631615	0.0176239	0.112835	0.242128	0.33351	0.0915626	0.61009	0.146011	0.0780525	0.0232253	0.0137892	0.067738	0.0800023	0.0126406	0.159643	0.443232	0.0708523	0.0216479	0.0270497	0.0636335	0.0633871	0.0964452	0.0302055	0.178122	0.139482	0.0664009	0.0618247	0.472305	1.38801	0.8123176	1.187682	0.394901	0.635632	0.868168	1.15185	1.57324	2.53228	0.6718187	1.462091	0.2502017	0.18284	0.0592384	0.0014696	0.00410062	0.0262537	0.0563369	0.0775989	0.0213042	0.141952	0.0339728	0.0181607	0.00540392	0.00320839	0.0157608	0.0186144	0.00294112	0.0371448	0.103128	0.0164855	0.00503689	0.00629374	0.0148058	0.0147485	0.0224402	0.00702802	0.0414442	0.0324537	0.0154497	0.014385	0.593841	0.406159	4.297868
288	-565.7281	-590.7788	25.05065	0.974833	0.150841	0.0298073	0.0891423	0.174198	0.149502	0.159669	0.323287	0.256298	0.293257	0.157851	0.0131072	0.0110519	0.0756738	0.0465593	0.0103305	0.102142	0.649384	0.0319911	0.188362	0.215021	0.0284248	0.190908	0.100626	0.129398	0.150341	0.0190889	0.00844117	0.0435513	0.446832	1.40674	0.6916299	1.30837	0.483649	0.701689	0.895365	1.11686	1.42513	2.06761	0.5252341	1.89172	0.2335561	0.204235	0.0316023	0.00624486	0.018676	0.0364959	0.031322	0.033452	0.0677312	0.0536964	0.0614396	0.033071	0.00274606	0.00231547	0.0158543	0.00975454	0.00216432	0.0213996	0.136051	0.00670239	0.0394634	0.0450486	0.00595522	0.0399967	0.021082	0.0271099	0.0314976	0.00399927	0.00176849	0.00912434	0.654185	0.345815	4.773087
324	-567.972	-592.2768	24.3048	0.865803	0.0353333	0.312958	0.0429239	0.0386416	0.930599	0.177288	0.0904188	0.396436	0.218486	0.134343	0.0216025	0.0450268	0.0934745	0.0492641	0.0231318	0.0458942	0.520267	0.143054	0.205742	0.0846913	0.00655853	0.0736323	0.183301	0.125344	0.0512825	0.00992533	0.00577154	0.030618	0.279556	1.52974	0.3610647	1.638935	0.829103	0.912652	0.971887	1.02893	1.09571	1.20612	0.1355111	4.539173	0.1343733	0.174493	0.00712104	0.0630733	0.00865086	0.0077878	0.187552	0.0357305	0.0182229	0.0798974	0.0440336	0.0270754	0.00435376	0.00907466	0.0188388	0.00992865	0.00466196	0.00924948	0.104854	0.028831	0.0414651	0.0170686	0.0013218	0.0148398	0.0369424	0.0252617	0.0103354	0.00200034	0.00116319	0.00617073	0.819468	0.180532	4.961813
